DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
1,Monday,10AM,3PM,16MFF-0143,101 CALIFORNIA ST,1024464,,10:00,15:00,3525000,10/02/2017 10:45:56 AM,10/02/2017 10:46:32 AM,263,11,N,Senor Sisig,6013384.005,2116933.92,37.79344987,-122.3976326,"(37.7934498719601, -122.397632559839)"
5,Friday,10AM,3PM,16MFF-0143,101 CALIFORNIA ST,1024464,,10:00,15:00,3525000,10/02/2017 10:45:56 AM,10/02/2017 10:46:32 AM,263,11,N,Senor Sisig,6013384.005,2116933.92,37.79344987,-122.3976326,"(37.7934498719601, -122.397632559839)"
3,Wednesday,10AM,3PM,16MFF-0143,101 CALIFORNIA ST,1024464,,10:00,15:00,3525000,10/02/2017 10:45:56 AM,10/02/2017 10:46:32 AM,263,11,N,Senor Sisig,6013384.005,2116933.92,37.79344987,-122.3976326,"(37.7934498719601, -122.397632559839)"
1,Monday,12PM,1PM,17MFF-0185,727 SANSOME ST,1009768,,12:00,13:00,11553000,08/23/2017 11:14:57 AM,10/04/2017 04:08:33 PM,175,3,N,Akuranvyka USA Inc,6012146.226,2118260.684,37.79702385,-122.4020087,"(37.7970238481128, -122.40200870828)"
4,Thursday,12PM,1PM,17MFF-0185,727 SANSOME ST,1009768,,12:00,13:00,11553000,08/23/2017 11:14:57 AM,10/04/2017 04:08:33 PM,175,3,N,Akuranvyka USA Inc,6012146.226,2118260.684,37.79702385,-122.4020087,"(37.7970238481128, -122.40200870828)"
2,Tuesday,12PM,1PM,17MFF-0185,727 SANSOME ST,1009768,,12:00,13:00,11553000,08/23/2017 11:14:57 AM,10/04/2017 04:08:33 PM,175,3,N,Akuranvyka USA Inc,6012146.226,2118260.684,37.79702385,-122.4020087,"(37.7970238481128, -122.40200870828)"
5,Friday,12PM,1PM,17MFF-0185,601 03RD ST,975273,,12:00,13:00,179000,05/15/2017 04:26:43 PM,10/04/2017 04:04:24 PM,3788,20,N,Akuranvyka USA Inc,6014275.908,2112050.699,37.7800913,-122.3942044,"(37.7800912961549, -122.394204446502)"
4,Thursday,12PM,1PM,17MFF-0185,601 03RD ST,975273,,12:00,13:00,179000,05/15/2017 04:26:43 PM,10/04/2017 04:04:24 PM,3788,20,N,Akuranvyka USA Inc,6014275.908,2112050.699,37.7800913,-122.3942044,"(37.7800912961549, -122.394204446502)"
2,Tuesday,12PM,1PM,17MFF-0185,601 03RD ST,975273,,12:00,13:00,179000,05/15/2017 04:26:43 PM,10/04/2017 04:04:24 PM,3788,20,N,Akuranvyka USA Inc,6014275.908,2112050.699,37.7800913,-122.3942044,"(37.7800912961549, -122.394204446502)"
4,Thursday,10AM,3PM,17MFF-0191,253 DRUMM ST,1013324,,10:00,15:00,4972000,10/25/2011 08:22:22 AM,10/25/2011 08:22:37 AM,203,13,N,Wu Wei LLC dba MoBowl,6013602.811,2117830.09,37.79592273,-122.3969383,"(37.795922726101, -122.396938330446)"
